Notes,Compound Notebook Name,Date Copied to Master Database,Data Recorded By,Seshadri Group,Oyaizu Group,DOI,Solvent 1 (S1),S1 SMILES,S1 SMILES 1,S1 SMILES 2,S1 SMILES 3,S1 Big SMILES,S1 End Group 1,S1 End Group 2,S1 Mol %,S1 Weight %,S1 SMILES 1 Mol %,S1 SMILES 2 Mol %,S1 SMILES 3 Mol %,S1 Molar Ratio,S1 Weight Ratio,S1 Mw,S1 Mn,S1 Mn or Mw,S1 Mw/Mn,S1 DOP,S1 Molar Mass (g/mol),S1 Type,S1 Block Mol Weight,Solvent 2 (S2),S2 SMILES,S2 SMILES 1,S2 SMILES 2,S2 Mol %,S2 Weight %,S2 SMILES 1 Mol %,S2 SMILES 2 Mol %,S2 Molar Ratio,S2 Weight Ratio,S2 Mw,S2 Mn,S2 Mn or Mw,S2 Mw/Mn,S2 DOP,S2 Molar Mass (g/mol),S2 Type,Solvent 3 (S3),S3 SMILES,S3 SMILES 1,S3 Mol %,S3 Weight %,S3 Molar Ratio,S3 Weight Ratio,S3 Mw,S3 Mn,S3 Mn or Mw,S3 Mw/Mn,S3 DOP,S3 Molar Mass (g/mol),S3 Type,Solvent 4 (S4),S4 SMILES,S4 Mol %,S4 Weight %,S4 Molar Ratio,S4 Weight Ratio,S4 Mw,S4 Mn,S4 Mn or Mw,S4 Mw/Mn,S4 DOP,S4 Molar Mass (g/mol),S4 Type,Salt 1,Salt1 SMILES,Salt1 Mol %,Salt1 Weight %,Salt1 Molality (mol salt/kg polymer),Salt1 Molar Mass (g/mol),Salt 2,Salt2 SMILES,Salt2 Mol %,Salt2 Weight %,Salt2 Molality (mol salt/kg polymer),Salt2 Molar Mass (g/mol),Inorganic Material 1 (IM1),IM1 Weight %,IM1 Particle Size (nm),Tg (oC),Heating Rate (K/min),Temperature (oC),Conductivity (S/cm),log Conductivity (S/cm)
,,,,,1.0,doi.org/10.1149/1.2116687,PEGDME,[Cu]OCC[Au],[Cu]OCC[Au],,,,,,0.948686125,0.5,,,,,,,1000.0,1000.0,,,44.02238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPSB-,Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],0.051313875,0.5,1.228679857,813.8816584,,,,,,,,,,,,130.0,1.87e-05,-4.727273
,,,,,1.0,doi.org/10.1149/1.2116687,PEGDME,[Cu]OCC[Au],[Cu]OCC[Au],,,,,,0.948686125,0.5,,,,,,,1000.0,1000.0,,,44.02238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPSB-,Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],0.051313875,0.5,1.228679857,813.8816584,,,,,,,,,,,,110.0,1.51e-05,-4.82197
,,,,,1.0,doi.org/10.1149/1.2116687,PEGDME,[Cu]OCC[Au],[Cu]OCC[Au],,,,,,0.948686125,0.5,,,,,,,1000.0,1000.0,,,44.02238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPSB-,Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],0.051313875,0.5,1.228679857,813.8816584,,,,,,,,,,,,90.0,1.32e-05,-4.878788
,,,,,1.0,doi.org/10.1149/1.2116687,PEGDME,[Cu]OCC[Au],[Cu]OCC[Au],,,,,,0.948686125,0.5,,,,,,,1000.0,1000.0,,,44.02238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPSB-,Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],0.051313875,0.5,1.228679857,813.8816584,,,,,,,,,,,,80.0,1.21e-05,-4.916667
,,,,,1.0,doi.org/10.1149/1.2116687,PEGDME,[Cu]OCC[Au],[Cu]OCC[Au],,,,,,0.948686125,0.5,,,,,,,1000.0,1000.0,,,44.02238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPSB-,Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],0.051313875,0.5,1.228679857,813.8816584,,,,,,,,,,,,70.0,9.74e-06,-5.011364
,,,,,1.0,doi.org/10.1149/1.2116687,PEGDME,[Cu]OCC[Au],[Cu]OCC[Au],,,,,,0.948686125,0.5,,,,,,,1000.0,1000.0,,,44.02238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPSB-,Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],0.051313875,0.5,1.228679857,813.8816584,,,,,,,,,,,,60.0,8.55e-06,-5.068182
,,,,,1.0,doi.org/10.1149/1.2116687,PEGDME,[Cu]OCC[Au],[Cu]OCC[Au],,,,,,0.948686125,0.5,,,,,,,1000.0,1000.0,,,44.02238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPSB-,Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],0.051313875,0.5,1.228679857,813.8816584,,,,,,,,,,,,50.0,7.18e-06,-5.143939
,,,,,1.0,doi.org/10.1149/1.2116687,PEGDME,[Cu]OCC[Au],[Cu]OCC[Au],,,,,,0.948686125,0.5,,,,,,,1000.0,1000.0,,,44.02238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPSB-,Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],0.051313875,0.5,1.228679857,813.8816584,,,,,,,,,,,,40.0,5.29e-06,-5.276515
,,,,,1.0,doi.org/10.1149/1.2116687,PEGDME,[Cu]OCC[Au],[Cu]OCC[Au],,,,,,0.948686125,0.5,,,,,,,1000.0,1000.0,,,44.02238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPSB-,Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],0.051313875,0.5,1.228679857,813.8816584,,,,,,,,,,,,35.0,1.56e-06,-5.806818
,,,,,1.0,doi.org/10.1149/1.2116687,PEGDME,[Cu]OCC[Au],[Cu]OCC[Au],,,,,,0.952380952,0.849512086,,,,,,,1000.0,1000.0,,,44.02238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium Trifluoromethanesulfonate (Lithium triflate),O=S(=O)([O-])C(F)(F)F.[Li+],0.047619048,0.150487914,1.135785908,155.9680291,,,,,,,,,,,,190.0,0.003217926,-2.492424
,,,,,1.0,doi.org/10.1149/1.2116687,PEGDME,[Cu]OCC[Au],[Cu]OCC[Au],,,,,,0.952380952,0.849512086,,,,,,,1000.0,1000.0,,,44.02238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium Trifluoromethanesulfonate (Lithium triflate),O=S(=O)([O-])C(F)(F)F.[Li+],0.047619048,0.150487914,1.135785908,155.9680291,,,,,,,,,,,,170.0,0.00336136,-2.473485
,,,,,1.0,doi.org/10.1149/1.2116687,PEGDME,[Cu]OCC[Au],[Cu]OCC[Au],,,,,,0.952380952,0.849512086,,,,,,,1000.0,1000.0,,,44.02238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium Trifluoromethanesulfonate (Lithium triflate),O=S(=O)([O-])C(F)(F)F.[Li+],0.047619048,0.150487914,1.135785908,155.9680291,,,,,,,,,,,,150.0,0.002702825,-2.568182
,,,,,1.0,doi.org/10.1149/1.2116687,PEGDME,[Cu]OCC[Au],[Cu]OCC[Au],,,,,,0.952380952,0.849512086,,,,,,,1000.0,1000.0,,,44.02238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium Trifluoromethanesulfonate (Lithium triflate),O=S(=O)([O-])C(F)(F)F.[Li+],0.047619048,0.150487914,1.135785908,155.9680291,,,,,,,,,,,,130.0,0.002173307,-2.662879
,,,,,1.0,doi.org/10.1149/1.2116687,PEGDME,[Cu]OCC[Au],[Cu]OCC[Au],,,,,,0.952380952,0.849512086,,,,,,,1000.0,1000.0,,,44.02238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium Trifluoromethanesulfonate (Lithium triflate),O=S(=O)([O-])C(F)(F)F.[Li+],0.047619048,0.150487914,1.135785908,155.9680291,,,,,,,,,,,,110.0,0.001825425,-2.738636
,,,,,1.0,doi.org/10.1149/1.2116687,PEGDME,[Cu]OCC[Au],[Cu]OCC[Au],,,,,,0.952380952,0.849512086,,,,,,,1000.0,1000.0,,,44.02238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium Trifluoromethanesulfonate (Lithium triflate),O=S(=O)([O-])C(F)(F)F.[Li+],0.047619048,0.150487914,1.135785908,155.9680291,,,,,,,,,,,,90.0,0.001533225,-2.814394
,,,,,1.0,doi.org/10.1149/1.2116687,PEGDME,[Cu]OCC[Au],[Cu]OCC[Au],,,,,,0.952380952,0.849512086,,,,,,,1000.0,1000.0,,,44.02238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium Trifluoromethanesulfonate (Lithium triflate),O=S(=O)([O-])C(F)(F)F.[Li+],0.047619048,0.150487914,1.135785908,155.9680291,,,,,,,,,,,,80.0,0.000991316,-3.003788
,,,,,1.0,doi.org/10.1149/1.2116687,PEGDME,[Cu]OCC[Au],[Cu]OCC[Au],,,,,,0.952380952,0.849512086,,,,,,,1000.0,1000.0,,,44.02238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium Trifluoromethanesulfonate (Lithium triflate),O=S(=O)([O-])C(F)(F)F.[Li+],0.047619048,0.150487914,1.135785908,155.9680291,,,,,,,,,,,,70.0,0.000613591,-3.212121
,,,,,1.0,doi.org/10.1149/1.2116687,PEGDME,[Cu]OCC[Au],[Cu]OCC[Au],,,,,,0.952380952,0.849512086,,,,,,,1000.0,1000.0,,,44.02238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium Trifluoromethanesulfonate (Lithium triflate),O=S(=O)([O-])C(F)(F)F.[Li+],0.047619048,0.150487914,1.135785908,155.9680291,,,,,,,,,,,,60.0,0.000515372,-3.287879
,,,,,1.0,doi.org/10.1149/1.2116687,PEGDME,[Cu]OCC[Au],[Cu]OCC[Au],,,,,,0.952380952,0.849512086,,,,,,,1000.0,1000.0,,,44.02238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium Trifluoromethanesulfonate (Lithium triflate),O=S(=O)([O-])C(F)(F)F.[Li+],0.047619048,0.150487914,1.135785908,155.9680291,,,,,,,,,,,,50.0,0.000305385,-3.515152
,,,,,1.0,doi.org/10.1149/1.2116687,PEGDME,[Cu]OCC[Au],[Cu]OCC[Au],,,,,,0.952380952,0.849512086,,,,,,,1000.0,1000.0,,,44.02238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium Trifluoromethanesulfonate (Lithium triflate),O=S(=O)([O-])C(F)(F)F.[Li+],0.047619048,0.150487914,1.135785908,155.9680291,,,,,,,,,,,,40.0,0.000173235,-3.761364
,,,,,1.0,doi.org/10.1149/1.2116687,PEGDME,[Cu]OCC[Au],[Cu]OCC[Au],,,,,,0.952380952,0.849512086,,,,,,,1000.0,1000.0,,,44.02238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium Trifluoromethanesulfonate (Lithium triflate),O=S(=O)([O-])C(F)(F)F.[Li+],0.047619048,0.150487914,1.135785908,155.9680291,,,,,,,,,,,,30.0,4.25e-06,-5.371212
,,,,,1.0,doi.org/10.1149/1.2116687,PEGM,[Cu]CC(COOCCOCCOCCOCCOC)(C)[Au],[Cu]CC(COOCCOCCOCCOCCOC)(C)[Au],,,,,,0.745278229,0.5,,,,,,,,1000.0,,,278.1691048,comb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPSB-,Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],0.254721771,0.5,1.228679857,813.8816584,,,,,,,,,,,,80.0,5.42e-07,-6.265861
,,,,,1.0,doi.org/10.1149/1.2116687,PEGM,[Cu]CC(COOCCOCCOCCOCCOC)(C)[Au],[Cu]CC(COOCCOCCOCCOCCOC)(C)[Au],,,,,,0.745278229,0.5,,,,,,,,1000.0,,,278.1691048,comb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPSB-,Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],0.254721771,0.5,1.228679857,813.8816584,,,,,,,,,,,,70.0,4.88e-07,-6.311178
,,,,,1.0,doi.org/10.1149/1.2116687,PEGM,[Cu]CC(COOCCOCCOCCOCCOC)(C)[Au],[Cu]CC(COOCCOCCOCCOCCOC)(C)[Au],,,,,,0.745278229,0.5,,,,,,,,1000.0,,,278.1691048,comb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPSB-,Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],0.254721771,0.5,1.228679857,813.8816584,,,,,,,,,,,,60.0,3.33e-07,-6.477341
,,,,,1.0,doi.org/10.1149/1.2116687,PEGM,[Cu]CC(COOCCOCCOCCOCCOC)(C)[Au],[Cu]CC(COOCCOCCOCCOCCOC)(C)[Au],,,,,,0.745278229,0.5,,,,,,,,1000.0,,,278.1691048,comb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPSB-,Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],0.254721771,0.5,1.228679857,813.8816584,,,,,,,,,,,,50.0,2.27e-07,-6.643505
,,,,,1.0,doi.org/10.1149/1.2116687,PEGM,[Cu]CC(COOCCOCCOCCOCCOC)(C)[Au],[Cu]CC(COOCCOCCOCCOCCOC)(C)[Au],,,,,,0.745278229,0.5,,,,,,,,1000.0,,,278.1691048,comb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPSB-,Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],0.254721771,0.5,1.228679857,813.8816584,,,,,,,,,,,,40.0,1.78e-07,-6.749245
,,,,,1.0,doi.org/10.1149/1.2116687,PEGM,[Cu]CC(COOCCOCCOCCOCCOC)(C)[Au],[Cu]CC(COOCCOCCOCCOCCOC)(C)[Au],,,,,,0.745278229,0.5,,,,,,,,1000.0,,,278.1691048,comb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPSB-,Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],0.254721771,0.5,1.228679857,813.8816584,,,,,,,,,,,,30.0,9.86e-08,-7.006042
,,,,,1.0,doi.org/10.1149/1.2116687,PEGM,[Cu]CC(COOCCOCCOCCOCCOC)(C)[Au],[Cu]CC(COOCCOCCOCCOCCOC)(C)[Au],,,,,,0.745278229,0.5,,,,,,,,1000.0,,,278.1691048,comb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPSB-,Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],0.254721771,0.5,1.228679857,813.8816584,,,,,,,,,,,,20.0,4.92e-08,-7.308157
,,,,,1.0,doi.org/10.1149/1.2116687,PEGM,[Cu]CC(COOCCOCCOCCOCCOC)(C)[Au],[Cu]CC(COOCCOCCOCCOCCOC)(C)[Au],,,,,,0.745278229,0.5,,,,,,,,1000.0,,,278.1691048,comb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPSB-,Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],0.254721771,0.5,1.228679857,813.8816584,,,,,,,,,,,,10.0,2.54e-08,-7.595166
,,,,,1.0,doi.org/10.1149/1.2116687,PEGM,[Cu]CC(COOCCOCCOCCOCCOC)(C)[Au],[Cu]CC(COOCCOCCOCCOCCOC)(C)[Au],,,,,,0.745278229,0.5,,,,,,,,1000.0,,,278.1691048,comb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPSB-,Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],0.254721771,0.5,1.228679857,813.8816584,,,,,,,,,,,,0.0,8.95e-09,-8.048338
